Date|Symbol|Short Volume|Total Volume|Market Center
20141202|NVMI|100|400|Z
20141202|NVO|50454|89071|Z
20141202|NVR|100|300|Z
20141202|NVRO|2260|7060|Z
20141202|NVS|99757|138633|Z
20141202|NVSL|0|100|Z
20141202|NVX|100|100|Z
20141202|NWBI|30869|53108|Z
20141202|NWBO|9600|12623|Z
20141202|NWE|4990|10989|Z
20141202|NWHM|100|200|Z
20141202|NWL|66375|157991|Z
20141202|NWN|900|3000|Z
20141202|NWPX|500|1700|Z
20141202|NWS|67218|187251|Z
20141202|NWSA|232955|384663|Z
20141202|NWY|4118|7411|Z
20141202|NX|7106|14756|Z
20141202|NXJ|0|200|Z
20141202|NXN|685|685|Z
20141202|NXPI|97045|272894|Z
20141202|NXQ|0|416|Z
20141202|NXR|0|100|Z
20141202|NXST|5702|13610|Z
20141202|NXTD|100|300|Z
20141202|NXTM|4800|12800|Z
20141202|NXZ|0|800|Z
20141202|NYCB|81456|142524|Z
20141202|NYLD|19575|33232|Z
20141202|NYMT|40230|52504|Z
20141202|NYMTP|100|600|Z
20141202|NYMX|700|2300|Z
20141202|NYNY|900|1500|Z
20141202|NYRT|54879|73813|Z
20141202|NYT|36911|70095|Z
20141202|NZF|200|2200|Z
20141202|NZH|200|800|Z
20141202|O|147852|173102|Z
20141202|OABC|0|1100|Z
20141202|OAK|43642|81241|Z
20141202|OAKS|1000|3210|Z
20141202|OAS|123470|350648|Z
20141202|OB|500|700|Z
20141202|OBCI|0|800|Z
20141202|OC|62288|93012|Z
20141202|OCFC|0|200|Z
20141202|OCIP|700|11670|Z
20141202|OCLR|2200|4300|Z
20141202|OCLS|200|1100|Z
20141202|OCN|57077|100323|Z
20141202|OCR|28943|40643|Z
20141202|OCRX|400|2100|Z
20141202|OCUL|1300|2800|Z
20141202|ODFL|9420|15005|Z
20141202|ODP|676786|1258757|Z
20141202|OEC|2200|3900|Z
20141202|OEF|86071|148974|Z
20141202|OESX|300|400|Z
20141202|OFC|9912|30009|Z
20141202|OFG|5400|18599|Z
20141202|OFIX|1100|3924|Z
20141202|OGE|53970|125386|Z
20141202|OGEN|100|3300|Z
20141202|OGS|18415|23215|Z
20141202|OGXI|500|5065|Z
20141202|OHAI|0|100|Z
20141202|OHGI|0|400|Z
20141202|OHI|73487|106398|Z
20141202|OHRP|300|900|Z
20141202|OI|31352|67504|Z
20141202|OIA|400|3560|Z
20141202|OIBR|62679|110128|Z
20141202|OIBR/C|0|400|Z
20141202|OIH|1282511|2238081|Z
20141202|OII|47097|67619|Z
20141202|OIIM|0|3770|Z
20141202|OIL|55258|61408|Z
20141202|OILT|1000|2500|Z
20141202|OIS|18336|52650|Z
20141202|OKE|86268|160485|Z
20141202|OKS|69248|150789|Z
20141202|OKSB|2300|2900|Z
20141202|OLBK|200|500|Z
20141202|OLED|10100|12796|Z
20141202|OLN|32303|41254|Z
20141202|OLP|100|200|Z
20141202|OMAB|100|300|Z
20141202|OMAM|800|7888|Z
20141202|OMC|52233|64722|Z
20141202|OMCL|2400|7360|Z
20141202|OME|8700|15400|Z
20141202|OMED|900|2290|Z
20141202|OMER|3500|4800|Z
20141202|OMEX|7331|19430|Z
20141202|OMG|2800|7600|Z
20141202|OMI|12156|28686|Z
20141202|OMN|5000|16100|Z
20141202|ONB|46686|78968|Z
20141202|ONCY|2600|5748|Z
20141202|ONE|2270|4470|Z
20141202|ONNN|688169|1058867|Z
20141202|ONP|0|100|Z
20141202|ONTX|300|1000|Z
20141202|ONTY|6300|11000|Z
20141202|ONVO|5306|10203|Z
20141202|OPB|492|692|Z
20141202|OPHT|2652|4169|Z
20141202|OPK|48736|108463|Z
20141202|OPLK|12105|35798|Z
20141202|OPTT|2300|3100|Z
20141202|OPWR|1400|3700|Z
20141202|OPXA|0|200|Z
20141202|OPY|100|590|Z
20141202|ORA|900|1900|Z
20141202|ORAN|13825|18635|Z
20141202|ORB|20071|24832|Z
20141202|ORBC|10300|14700|Z
20141202|ORBK|2959|12890|Z
20141202|ORC|2600|7567|Z
20141202|ORCL|719349|1134611|Z
20141202|OREX|271429|573816|Z
20141202|ORI|49152|75157|Z
20141202|ORIG|41991|59554|Z
20141202|ORIT|2225|4117|Z
20141202|ORLY|7300|13905|Z
20141202|ORM|0|200|Z
20141202|ORMP|300|400|Z
20141202|ORN|1200|4207|Z
20141202|ORPN|0|400|Z
20141202|OSBC|100|400|Z
20141202|OSIR|1457|3889|Z
20141202|OSIS|1600|4600|Z
20141202|OSK|26970|40333|Z
20141202|OSTK|2300|5400|Z
20141202|OSUR|10150|23681|Z
20141202|OTEX|16231|28831|Z
20141202|OTIC|1700|4400|Z
20141202|OTIV|5525|14384|Z
20141202|OTTR|0|2856|Z
20141202|OUBS|11203|15310|Z
20141202|OUT|6901|15355|Z
20141202|OUTR|9251|15401|Z
20141202|OVAS|1500|2100|Z
20141202|OVBC|400|400|Z
20141202|OVTI|21494|70398|Z
20141202|OWW|76254|236962|Z
20141202|OXBR|2300|3000|Z
20141202|OXF|1342|1542|Z
20141202|OXFD|0|500|Z
20141202|OXGN|5100|8600|Z
20141202|OXLC|0|1788|Z
20141202|OXM|1600|2200|Z
20141202|OXY|341861|601620|Z
20141202|OZM|40302|113299|Z
20141202|OZRK|8395|11510|Z
20141202|OpF|0|300|Z
20141202|P|387167|621131|Z
20141202|PAA|75560|112991|Z
20141202|PAAS|334906|482053|Z
20141202|PAC|4240|5240|Z
20141202|PACB|8576|13423|Z
20141202|PACD|17000|39356|Z
20141202|PACW|19726|24645|Z
20141202|PAG|5900|13100|Z
20141202|PAGP|42289|81961|Z
20141202|PAH|5144|16804|Z
20141202|PAHC|10772|26606|Z
20141202|PAL|10902|15402|Z
20141202|PALL|100|5500|Z
20141202|PAM|1050|3450|Z
20141202|PANW|30600|82246|Z
20141202|PAR|200|400|Z
20141202|PARR|0|300|Z
20141202|PATK|1003|2403|Z
20141202|PATR|300|300|Z
20141202|PAY|31662|58131|Z
20141202|PAYC|3716|5816|Z
20141202|PAYX|130633|330637|Z
20141202|PB|17856|59943|Z
20141202|PBA|53673|97500|Z
20141202|PBCT|176941|229016|Z
20141202|PBD|0|700|Z
20141202|PBE|2400|3500|Z
20141202|PBF|43866|87423|Z
20141202|PBFX|300|2100|Z
20141202|PBH|13764|20459|Z
20141202|PBHC|100|2404|Z
20141202|PBI|101712|159710|Z
20141202|PBM|100|100|Z
20141202|PBP|3700|3700|Z
20141202|PBPB|22748|36458|Z
20141202|PBR|1560368|2520036|Z
20141202|PBR/A|1159921|1688388|Z
20141202|PBS|2900|6620|Z
20141202|PBT|2484|6000|Z
20141202|PBW|200|700|Z
20141202|PBY|6800|9300|Z
20141202|PBYI|1300|2800|Z
20141202|PCAR|83661|148332|Z
20141202|PCBK|0|1200|Z
20141202|PCCC|600|1400|Z
20141202|PCEF|11700|21700|Z
20141202|PCF|100|1600|Z
20141202|PCG|110511|265984|Z
20141202|PCH|3200|10011|Z
20141202|PCI|862|7662|Z
20141202|PCK|300|300|Z
20141202|PCL|27026|37206|Z
20141202|PCLN|25320|37271|Z
20141202|PCM|100|300|Z
20141202|PCMI|100|100|Z
20141202|PCN|0|500|Z
20141202|PCO|896|3296|Z
20141202|PCOM|200|400|Z
20141202|PCP|21008|35031|Z
20141202|PCRX|6647|12754|Z
20141202|PCTY|2100|2600|Z
20141202|PCY|11471|30311|Z
20141202|PCYC|11252|16397|Z
20141202|PCYG|0|100|Z
20141202|PCYO|0|1275|Z
20141202|PDCE|46177|80163|Z
20141202|PDCO|39224|60399|Z
20141202|PDFS|3900|8300|Z
20141202|PDI|500|1200|Z
20141202|PDII|0|3100|Z
20141202|PDLI|98796|158555|Z
20141202|PDM|73758|152112|Z
20141202|PDP|2581|2581|Z
20141202|PDS|437238|723073|Z
20141202|PDT|400|600|Z
20141202|PE|97054|126485|Z
20141202|PEB|8400|12900|Z
20141202|PEBO|100|400|Z
20141202|PEBpC|200|300|Z
20141202|PED|0|2100|Z
20141202|PEG|119194|290445|Z
20141202|PEGA|3668|9368|Z
20141202|PEGI|23039|32539|Z
20141202|PEI|32676|45201|Z
20141202|PEIX|18495|45298|Z
20141202|PEIpB|100|100|Z
20141202|PEK|100|500|Z
20141202|PENN|49098|85140|Z
20141202|PEO|300|2871|Z
20141202|PEP|154346|356871|Z
20141202|PER|16655|27540|Z
20141202|PERI|100|2500|Z
20141202|PERY|600|2600|Z
20141202|PES|63439|115550|Z
20141202|PETM|40941|83883|Z
20141202|PETS|500|1874|Z
20141202|PETX|1200|2000|Z
20141202|PEX|546|14745|Z
20141202|PEZ|0|500|Z
20141202|PF|33237|100889|Z
20141202|PFBC|200|400|Z
20141202|PFD|100|100|Z
20141202|PFE|1239405|2283235|Z
20141202|PFF|180832|406211|Z
20141202|PFG|22438|62919|Z
20141202|PFI|0|200|Z
20141202|PFIE|200|18882|Z
20141202|PFIS|100|100|Z
20141202|PFL|0|1000|Z
20141202|PFM|300|500|Z
20141202|PFMT|3700|19360|Z
20141202|PFN|4965|5665|Z
20141202|PFNX|100|1150|Z
20141202|PFPT|14481|21141|Z
20141202|PFS|2190|5000|Z
20141202|PFSI|300|1300|Z
20141202|PFSW|500|2300|Z
20141202|PFXF|7046|9746|Z
20141202|PG|295313|473759|Z
20141202|PGAL|0|400|Z
20141202|PGC|100|500|Z
20141202|PGEM|3500|16337|Z
20141202|PGF|1700|3700|Z
20141202|PGH|342398|514526|Z
20141202|PGI|2916|5916|Z
20141202|PGJ|300|2400|Z
20141202|PGN|53318|131847|Z
20141202|PGNX|80932|199287|Z
20141202|PGP|1000|2000|Z
20141202|PGR|187347|340200|Z
20141202|PGRE|10800|23911|Z
20141202|PGTI|6500|12677|Z
20141202|PGX|5494|23394|Z
20141202|PH|32616|44116|Z
20141202|PHB|100|17900|Z
20141202|PHD|0|500|Z
20141202|PHDG|2500|2500|Z
20141202|PHF|0|300|Z
20141202|PHG|14431|26250|Z
20141202|PHH|11998|23298|Z
20141202|PHI|1300|2000|Z
20141202|PHIIK|500|800|Z
20141202|PHK|0|200|Z
20141202|PHM|246102|375860|Z
20141202|PHMD|1700|2900|Z
20141202|PHO|27800|32854|Z
20141202|PHT|100|228|Z
20141202|PHX|900|1100|Z
20141202|PHYS|26919|121594|Z
20141202|PICB|0|600|Z
20141202|PICK|0|1050|Z
20141202|PICO|600|2000|Z
20141202|PID|74094|75898|Z
20141202|PIE|0|2653|Z
20141202|PIH|100|100|Z
20141202|PII|6688|9588|Z
20141202|PIKE|11364|41125|Z
20141202|PIM|0|700|Z
20141202|PIN|49551|63397|Z
20141202|PINC|11841|28744|Z
20141202|PIO|800|900|Z
20141202|PIP|200|800|Z
20141202|PIR|59722|109974|Z
20141202|PIY|0|100|Z
20141202|PIZ|900|1300|Z
20141202|PJC|3026|4326|Z
20141202|PJH|0|900|Z
20141202|PJP|2904|3604|Z
20141202|PKB|0|1500|Z
20141202|PKD|33582|95764|Z
20141202|PKE|700|2883|Z
20141202|PKG|9068|19368|Z
20141202|PKI|33520|62290|Z
20141202|PKO|2900|5300|Z
20141202|PKOH|600|1500|Z
20141202|PKT|8600|21100|Z
20141202|PKW|16722|17522|Z
20141202|PKX|19973|32388|Z
20141202|PKY|16800|38385|Z
20141202|PL|22767|49891|Z
20141202|PLAB|600|7331|Z
20141202|PLAY|5378|6378|Z
20141202|PLCE|15375|22475|Z
20141202|PLCM|23679|51485|Z
20141202|PLD|89004|218260|Z
20141202|PLG|833|933|Z
20141202|PLKI|6322|11622|Z
20141202|PLL|14600|25000|Z
20141202|PLM|1600|5200|Z
20141202|PLND|0|200|Z
20141202|PLNR|5100|13609|Z
20141202|PLOW|3600|11286|Z
20141202|PLPM|7158|16058|Z
20141202|PLT|4302|6702|Z
20141202|PLUG|120778|210447|Z
20141202|PLUS|200|1750|Z
20141202|PLW|600|1000|Z
20141202|PLX|4400|12700|Z
20141202|PLXS|2500|5800|Z
20141202|PM|180480|368141|Z
20141202|PMC|4312|11335|Z
20141202|PMCS|91696|133168|Z
20141202|PME|0|100|Z
